comp_name,smiles,charge,multiplicity
azo_029772a440,COc1ccc(/N=N/c2c(F)cc(C#N)cc2F)cc1,0,1
azo_6072e181ee,N#Cc1ccc(/N=N/c2cc3ccc(O)cc3cc2C(F)(F)F)c(I)c1,0,1
azo_c7896dbe98,NCc1ccc(/N=N/c2cc(Cl)cc(C(N)=O)c2)cc1,0,1
azo_639959ef0f,Cc1n[nH]c(C)c1-c1ccc(/N=N/c2ccc(-c3ccncc3)cc2)cc1,0,1
azo_159cd3a84d,Fc1sc2cc(Br)c(/N=N/c3ccccc3)cc2c1Br,0,1
azo_ac61554951,O=S(=O)(O)c1cc2sc(Cl)c(S(=O)(=O)O)c2cc1/N=N/c1ccccc1,0,1
azo_d0c58e1e2d,COc1ccc(-c2ccccc2)c2ccc(/N=N/c3ccc(S(=O)(=O)O)cc3)cc12,0,1
azo_0f037b363e,Oc1ccc2cc(/N=N/c3cc(Br)cc(C(F)(F)F)c3)ccc2c1,0,1
azo_c151ccb3da,COc1cc(N=Nc2ccc[nH]2)cc(OC)c1,0,1
azo_f80e0aaa92,Fc1c(Cl)sc2cc(I)c(/N=N/c3ccccc3)cc12,0,1
azo_565169da24,O=C(O)c1cc(F)cc(/N=N/c2ccc(-c3ccccc3)cc2)c1,0,1
azo_fee9d09d8e,Cc1cc(/N=N/c2cccc(F)c2)cc(-c2ccccc2)c1,0,1
azo_5bf3388a3c,CC(C)(C)c1cc(C(F)(F)F)cc(C(C)(C)C)c1/N=N/c1ccccc1,0,1
azo_b3308ffa38,Cc1ccc(/N=N/c2ccc(Br)cc2F)c(Cl)c1,0,1
azo_2d3b722985,CC(C)c1cc(N)ccc1/N=N/c1ccc(Br)cc1F,0,1
azo_c79a9afefa,COc1cc(/N=N/c2cc(Cl)cc(Cl)c2)cc(-c2ccccc2)c1,0,1
azo_38ec7ac3a7,CC(C)(C)c1ccccc1/N=N/c1ccc(F)cc1C(C)(C)C,0,1
azo_9b1c67bac0,O=S(=O)(O)c1cccc(Br)c1N=Nc1cnoc1,0,1
azo_ed4b1d7fdb,NC(=O)c1ccc(/N=N/c2ccc3cc(O)ccc3c2F)cc1,0,1
azo_5576983364,N#Cc1cc(Cl)cc(/N=N/c2ccc3cc(CN)ccc3c2)c1,0,1
azo_156c702f9b,COc1ccc2cc(/N=N/c3ccc(F)cc3Br)c(I)cc2c1,0,1
azo_107611e8fc,COc1ccc(/N=N/c2ccc(F)cc2Cl)cc1,0,1
azo_c152a10d69,CC(C)(C)c1cc2cc(N)ccc2cc1/N=N/c1ccc(C=O)cc1C(F)(F)F,0,1
azo_b3d382e9c0,Oc1ccc2cc(/N=N/c3c(Cl)cc(Cl)cc3C(F)(F)F)ccc2c1,0,1
azo_20c7368bf6,Nc1cc(N)cc(/N=N/c2cc(C=O)cc(C(F)(F)F)c2)c1,0,1
azo_ad1b027d61,COc1cc(C)cc(/N=N/c2cc(Cl)cc(Cl)c2)c1,0,1
azo_3e62c04ad9,Brc1ccc(/N=N/c2cccc(-c3ccccc3)c2)cc1,0,1
azo_2d5d44c0d5,Cc1ccc2cc(/N=N/c3ccccc3)c(F)cc2c1,0,1
azo_7d7b58914a,COc1ccc(/N=N/c2ccc(F)cc2)c(C(F)(F)F)c1,0,1
azo_63eba38d27,COc1ccc2c(F)c(/N=N/c3ccc(F)cc3)c(Br)cc2c1,0,1
azo_01304c6726,CC(C)c1ccccc1/N=N/c1ccccc1Cl,0,1
azo_afb8d87baa,Fc1cc(I)ccc1/N=N/c1ccc2ccccc2c1F,0,1
azo_33a35e828d,CC(C)c1cc(C#N)cc(C(C)(C)C)c1/N=N/c1ccc(-c2ccccc2)cc1,0,1
azo_bfbea1fae9,NCc1ccc(/N=N/c2c(I)cc(C=O)cc2C(F)(F)F)cc1,0,1
azo_0a6738fca3,Cc1n[nH]c(C)c1N=Nc1c(CN)cccc1CN,0,1
azo_4f26f35a8e,COc1ccc2c(C(C)C)c(/N=N/c3ccc(C(=O)O)cc3)c(I)cc2c1,0,1
azo_283e227ad1,O=S(=O)(O)c1cc2oc(C(F)(F)F)c(Cl)c2cc1/N=N/c1ccccc1,0,1
azo_396a2c5666,COc1ccc2c(Cl)c(/N=N/c3ccc(Br)cc3F)ccc2c1,0,1
azo_8ed193bea3,COc1cc(O)cc(/N=N/c2ccc(S(=O)(=O)O)cc2)c1,0,1
azo_e101dfca37,O=C(O)c1c(/N=N/c2ccccc2)ccc2c1C(I)=CC2,0,1
azo_81972ca90c,Oc1ccc2c(C(F)(F)F)c(/N=N/c3ccc(Cl)cc3)c(F)cc2c1,0,1
azo_10cb11b7d9,Cc1ccc2cc(/N=N/c3c(Cl)cccc3Br)ccc2c1,0,1
azo_86d90bbef4,COc1cc(O)cc(/N=N/c2cc(Br)cc(C(=O)O)c2)c1,0,1
azo_bb0a0e3713,Cc1ccc(/N=N/c2ccc(I)cc2C(F)(F)F)c(C(C)(C)C)c1,0,1
azo_b81031baba,CC(C)(C)c1cc(Cl)cc(C(F)(F)F)c1/N=N/c1ccc2cc(O)ccc2c1,0,1
azo_710ad3a7ff,Brc1ccccc1N=Nc1ccncc1,0,1
azo_79c66de4e7,NCc1ccc(CN)c2cc(/N=N/c3cc(C(N)=O)cc(S(=O)(=O)O)c3)ccc12,0,1
azo_18af9df72f,CC(C)c1cc2cc(-c3ccccc3)ccc2cc1/N=N/c1ccc(F)cc1Cl,0,1
azo_47c70fb17e,c1ccc(-c2cc(N=Nc3ccncc3)cc(-c3ccccc3)c2)cc1,0,1
azo_0d181a677c,CC(C)c1cc(O)ccc1/N=N/c1ccc(C=O)cc1F,0,1
azo_a4a83d149c,NC(=O)c1cc(I)cc(/N=N/c2ccc3cccc(-c4ccccc4)c3c2)c1,0,1
azo_d1e262a837,Cc1cc2cc(/N=N/c3ccccc3)c(-c3ccccc3)cc2[nH]1,0,1
azo_247fabd17a,c1ccc(/N=N/c2cc3c(-c4ccccc4)coc3cc2-c2ccccc2)cc1,0,1
azo_103139aea3,Nc1ccc2c(I)c(/N=N/c3ccc(S(=O)(=O)O)cc3I)ccc2c1,0,1
azo_b6f54d5e0d,COc1ccc(/N=N/c2c(I)cc(F)cc2I)cc1,0,1
azo_e2f57be337,Fc1cc(I)ccc1/N=N/c1ccc2ccccc2c1C(F)(F)F,0,1
azo_b1f517b271,NC(=O)c1cccc(N=Nc2ccc3sccc3c2)c1,0,1
azo_caa6fe0587,COc1ccc2c(F)c(/N=N/c3ccc(C(N)=O)cc3)c(F)cc2c1,0,1
azo_4daafaf2e1,CC(C)c1cc2cc(O)ccc2cc1/N=N/c1ccc(Br)cc1I,0,1
azo_5909e1fc6b,Ic1ccc(/N=N/c2ccc3ccccc3c2I)c(I)c1,0,1
azo_a888b573ef,CC(C)(C)c1c(/N=N/c2ccc(C(F)(F)F)cc2)ccc2cc(O)ccc12,0,1
azo_c0a07fe0ae,Fc1c[nH]c2ccc(/N=N/c3ccccc3)c(F)c12,0,1
azo_12dc32487d,NCc1cc(N=Nc2ccncc2)cc(-c2ccccc2)c1,0,1
azo_194edb3ef8,CC(C)(C)c1cc(C(F)(F)F)ccc1/N=N/c1ccc(CN)cc1,0,1
azo_9f303403e4,O=[N+]([O-])c1cc(N=Nc2cnc[nH]2)cc([N+](=O)[O-])c1,0,1
azo_83080b00cd,COc1ccc(OC)c2cc(/N=N/c3cc(I)cc(C(=O)O)c3)ccc12,0,1
azo_8c9c20cd1d,NC(=O)c1cc(C=O)cc(N=Nc2ccc3sccc3c2)c1,0,1
azo_04dac94dd2,Cc1ccc2cc(/N=N/c3ccc(F)cc3C(C)C)ccc2c1,0,1
azo_3d3430d483,CC(C)c1c(/N=N/c2ccc([N+](=O)[O-])cc2F)ccc2ccccc12,0,1
azo_80d22be378,Clc1cccc(/N=N/c2ccc3c(-c4ccccc4)ccc(-c4ccccc4)c3c2)c1,0,1
azo_ab067eb71d,O=S(=O)(O)c1ccc(/N=N/c2c(F)cccc2Cl)cc1,0,1
azo_ad2700655a,NC(=O)c1ccc(/N=N/c2ccc3c(N)cccc3c2)cc1,0,1
azo_7667cdfe74,COc1ccc(N)c2cc(/N=N/c3cc(F)cc(I)c3)ccc12,0,1
azo_89106cd67c,N#Cc1cc(Cl)c(/N=N/c2ccc(N)cc2)c(C(F)(F)F)c1,0,1
azo_3d5bba564c,Nc1ccc(/N=N/c2ccc(Cl)cc2C(F)(F)F)cc1,0,1
azo_7d47b6237c,O=Cc1cccc(C(=O)O)c1N=Nc1cn[nH]c1,0,1
azo_0cc86b0e4d,Cc1ccc(C)c2cc(/N=N/c3cc(Cl)cc(C(F)(F)F)c3)ccc12,0,1
azo_3168e72f5f,CC(C)c1c(/N=N/c2ccc(I)cc2C(C)(C)C)ccc2ccccc12,0,1
azo_70279a7a93,COc1ccc2cc(/N=N/c3ccccc3Br)c(Br)cc2c1,0,1
azo_4f0339e750,N#Cc1cc(Cl)cc(N=Nc2ccoc2)c1,0,1
azo_cac2e18e75,N#Cc1coc2ccc(/N=N/c3ccccc3)c([N+](=O)[O-])c12,0,1
azo_f8394a9243,Cc1ccc(/N=N/c2ccc(Cl)cc2Br)c(C(C)C)c1,0,1
azo_518fdd9553,COc1cc(C)cc(/N=N/c2cc(C=O)cc(C(=O)O)c2)c1,0,1
azo_1e6ce2a83b,NC(=O)c1ccc(/N=N/c2ccc3cc(-c4ccccc4)ccc3c2Cl)c(F)c1,0,1
azo_56476476bd,NC(=O)c1c(C(F)(F)F)[nH]c2ccc(/N=N/c3ccccc3)cc12,0,1
